Title,Link,Rating,Description,Genre,Duration (hrs)
The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,9.3,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",Drama,2h 22m
The Godfather,https://www.imdb.com/title/tt0068646/,9.2,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,"Crime, Drama",2h 55m
The Dark Knight,https://www.imdb.com/title/tt0468569/,9,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Action, Crime, Drama",2h 32m
The Godfather Part II,https://www.imdb.com/title/tt0071562/,9,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Crime, Drama",3h 22m
12 Angry Men,https://www.imdb.com/title/tt0050083/,9,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"Crime, Drama",1h 36m
Schindler&apos;s List,https://www.imdb.com/title/tt0108052/,9,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Biography, Drama, History",3h 15m
The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/,9,Gandalf and Aragorn lead the World of Men against Sauron&apos;s army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"Action, Adventure, Drama",3h 21m
Pulp Fiction,https://www.imdb.com/title/tt0110912/,8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Crime, Drama",2h 34m
The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/,8.9,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Action, Adventure, Drama",2h 58m
"Il buono, il brutto, il cattivo",https://www.imdb.com/title/tt0060196/,8.8,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"Adventure, Drama, Western",2h 41m
Forrest Gump,https://www.imdb.com/title/tt0109830/,8.8,"The history of the United States from the 1950s to the &apos;70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.","Drama, Romance",2h 22m
The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/,8.8,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron&apos;s new ally, Saruman, and his hordes of Isengard.","Action, Adventure, Drama",2h 59m
Fight Club,https://www.imdb.com/title/tt0137523/,8.8,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,Drama,2h 19m
Inception,https://www.imdb.com/title/tt1375666/,8.8,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","Action, Adventure, Sci-Fi",2h 28m
Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com/title/tt0080684/,8.7,"After the Rebel Alliance are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.","Action, Adventure, Fantasy",2h 4m
The Matrix,https://www.imdb.com/title/tt0133093/,8.7,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Action, Sci-Fi",2h 16m
Goodfellas,https://www.imdb.com/title/tt0099685/,8.7,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.","Biography, Crime, Drama",2h 25m
One Flew Over the Cuckoo&apos;s Nest,https://www.imdb.com/title/tt0073486/,8.7,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",Drama,2h 13m
Se7en,https://www.imdb.com/title/tt0114369/,8.6,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Crime, Drama, Mystery",2h 7m
Interstellar,https://www.imdb.com/title/tt0816692/,8.7,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.","Adventure, Drama, Sci-Fi",2h 49m
